occupation	occupationLabelSv	occupationLabelEn	occupationLabelDe
http://www.wikidata.org/entity/Q589897	elefanttränare	mahout	Mahut
http://www.wikidata.org/entity/Q8311	specialeffektsansvarig	visual effects supervisor	Visual-Effects-Supervisor
http://www.wikidata.org/entity/Q350979	zoolog	zoologist	Zoologe
http://www.wikidata.org/entity/Q755070	historieberättare	storyteller	Erzähler
http://www.wikidata.org/entity/Q201559	kapare	privateer	Korsar
http://www.wikidata.org/entity/Q901	forskare	scientist	Wissenschaftler
http://www.wikidata.org/entity/Q9402	ninja	ninja	Ninja
http://www.wikidata.org/entity/Q8313	specialeffektstekniker	special effects supervisor	Leiter für Spezialeffekte
http://www.wikidata.org/entity/Q620554	apotekspersonal	pharmacy personal	Apothekenpersonal
http://www.wikidata.org/entity/Q620573	arabist	Arabist	Arabist
http://www.wikidata.org/entity/Q621613	prisjägare	bounty hunter	Kopfgeldjäger
http://www.wikidata.org/entity/Q202648	sportdomare	referee	Schiedsrichter
http://www.wikidata.org/entity/Q201948	prickskytt	sniper	Scharfschütze
http://www.wikidata.org/entity/Q356139	korrekturläsare	copy editor	Korrektor
http://www.wikidata.org/entity/Q355493	kyrkomusiker	church musician	Kirchenmusiker
http://www.wikidata.org/entity/Q357813	adjunkt	adjunct professor	Lehrbeauftragter
http://www.wikidata.org/entity/Q593644	kemist	chemist	Chemiker
http://www.wikidata.org/entity/Q11063	astronom	astronomer	Astronom
http://www.wikidata.org/entity/Q780600	personal shopper	personal shopper	Einkaufshelfer
http://www.wikidata.org/entity/Q780596	utställningsproducent	exhibition curator	Ausstellungsmacher
http://www.wikidata.org/entity/Q782985	romersk kung	King of the Romans	römisch-deutscher König
http://www.wikidata.org/entity/Q201788	historiker	historian	Historiker
http://www.wikidata.org/entity/Q365461	garvare	tanner	Gerber
http://www.wikidata.org/entity/Q361593	polisbefäl	police officer	Polizeibeamter
http://www.wikidata.org/entity/Q361809	retor	rhetorician	Rhetor
http://www.wikidata.org/entity/Q202883	veterinär	veterinarian	Tierarzt
http://www.wikidata.org/entity/Q609016	hovmästarinna	Hofmeister	Hofmeister
http://www.wikidata.org/entity/Q619553	apologet	apologist	Apologet
http://www.wikidata.org/entity/Q613431	applikationsprogrammerare	application programmer	Anwendungsprogrammierer
http://www.wikidata.org/entity/Q628099	fotbollstränare	association football manager	Fußballtrainer
http://www.wikidata.org/entity/Q630349	krigskonstnär	war artist	Kriegsmaler
http://www.wikidata.org/entity/Q11631	rymdfarare	astronaut	Raumfahrer
http://www.wikidata.org/entity/Q776268	arborist	arborist	Baumpfleger
http://www.wikidata.org/entity/Q762707	violinmakare	luthier	Geigenbauer
http://www.wikidata.org/entity/Q779280	Oblat (ordensliv)	oblate	Oblate
http://www.wikidata.org/entity/Q205375	uppfinnare	inventor	Erfinder
http://www.wikidata.org/entity/Q369894	adjutant	aide-de-camp	Adjutant
http://www.wikidata.org/entity/Q371909	prefekt	prefect	Präfekt
http://www.wikidata.org/entity/Q372391	färjeman	ferryman	Fährmann
http://www.wikidata.org/entity/Q18805	naturvetare	naturalist	Naturwissenschaftler
http://www.wikidata.org/entity/Q17221	talesperson	spokesperson	Pressesprecher
http://www.wikidata.org/entity/Q13968	övervakare	probation officer	Bewährungshelfer
http://www.wikidata.org/entity/Q351234	naturläkare	heilpraktiker	Heilpraktiker
http://www.wikidata.org/entity/Q355242	estradör	showman	Schausteller
http://www.wikidata.org/entity/Q354034	typsnittsdesigner	type designer	Schriftdesigner
http://www.wikidata.org/entity/Q33999	skådespelare	actor	Schauspieler
http://www.wikidata.org/entity/Q806798	bankman	banker	Bankier
http://www.wikidata.org/entity/Q806349	orkesterledare	bandleader	Bandleader
http://www.wikidata.org/entity/Q623386	spökskrivare	ghostwriter	Ghostwriter
http://www.wikidata.org/entity/Q623279	operativ chef	chief operating officer	Chief Operating Officer
http://www.wikidata.org/entity/Q623268	finansdirektör	chief financial officer	Chief Financial Officer
http://www.wikidata.org/entity/Q622807	seiyu	seiyu	Seiyu
http://www.wikidata.org/entity/Q654437	testamentsexekutor	executor	Testamentsvollstrecker
http://www.wikidata.org/entity/Q658371	statist	extra	Statist
http://www.wikidata.org/entity/Q799665	badmintondomare	badminton referee	Badmintonschiedsrichter
http://www.wikidata.org/entity/Q211423	guldsmed	goldsmith	Goldschmied
http://www.wikidata.org/entity/Q372436	statsperson	statesperson	Staatsmann
http://www.wikidata.org/entity/Q758780	trädgårdsmästare	gardener	Gärtner
http://www.wikidata.org/entity/Q762121	personlig tränare	personal trainer	Personal Trainer
http://www.wikidata.org/entity/Q379318	flyginstruktör	flight instructor	Fluglehrer
http://www.wikidata.org/entity/Q378622	racerförare	racing driver	Rennfahrer
http://www.wikidata.org/entity/Q664702	vadhållningsagent	bookmaker	Buchmacher
http://www.wikidata.org/entity/Q667982	creative Director	creative director	Creative Director
http://www.wikidata.org/entity/Q211346	psykiater	psychiatrist	Psychiater
http://www.wikidata.org/entity/Q212238	ämbetsman	civil servant	Staatsdiener
http://www.wikidata.org/entity/Q215279	frilans	freelancer	Freischaffender
http://www.wikidata.org/entity/Q432386	predikant	preacher	Prediger
http://www.wikidata.org/entity/Q27914	tenor	tenor	Tenor
http://www.wikidata.org/entity/Q833899	butler	butler	Butler
http://www.wikidata.org/entity/Q811122	byggnadsarbetare	construction worker	Bauarbeiter
http://www.wikidata.org/entity/Q388513	thaiboxare	Thai boxer	Thaiboxer
http://www.wikidata.org/entity/Q392651	underrättelseagent	intelligence agent	Agent
http://www.wikidata.org/entity/Q12097	kung	king	König
http://www.wikidata.org/entity/Q36180	författare	writer	Schriftsteller
http://www.wikidata.org/entity/Q658404	serietextare	letterer	Letterer
http://www.wikidata.org/entity/Q664283	glasmästare	glazier	Glaser
