occupation	occupationLabelSv	occupationLabelEn
http://www.wikidata.org/entity/Q755070	historieberättare	storyteller
http://www.wikidata.org/entity/Q350979	zoolog	zoologist
http://www.wikidata.org/entity/Q354034	typsnittsdesigner	type designer
http://www.wikidata.org/entity/Q355242	estradör	showman
http://www.wikidata.org/entity/Q351234	naturläkare	heilpraktiker
http://www.wikidata.org/entity/Q589897	elefanttränare	mahout
http://www.wikidata.org/entity/Q201559	kapare	privateer
http://www.wikidata.org/entity/Q357813	adjunkt	adjunct professor
http://www.wikidata.org/entity/Q356139	korrekturläsare	copy editor
http://www.wikidata.org/entity/Q355493	kyrkomusiker	church musician
http://www.wikidata.org/entity/Q595071	specialistsjuksköterska	nurse practitioner
http://www.wikidata.org/entity/Q593644	kemist	chemist
http://www.wikidata.org/entity/Q762121	personlig tränare	personal trainer
http://www.wikidata.org/entity/Q758780	trädgårdsmästare	gardener
http://www.wikidata.org/entity/Q11063	astronom	astronomer
http://www.wikidata.org/entity/Q378622	racerförare	racing driver
http://www.wikidata.org/entity/Q379318	flyginstruktör	flight instructor
http://www.wikidata.org/entity/Q631193	arbetsterapeut	occupational therapist
http://www.wikidata.org/entity/Q635067	programdirektör	program director
http://www.wikidata.org/entity/Q635734	arkivarie	archivist
http://www.wikidata.org/entity/Q201788	historiker	historian
http://www.wikidata.org/entity/Q619553	apologet	apologist
http://www.wikidata.org/entity/Q613431	applikationsprogrammerare	application programmer
http://www.wikidata.org/entity/Q609016	hovmästarinna	Hofmeister
http://www.wikidata.org/entity/Q212238	ämbetsman	civil servant
http://www.wikidata.org/entity/Q211423	guldsmed	goldsmith
http://www.wikidata.org/entity/Q373021	flygbesättning	aircrew
http://www.wikidata.org/entity/Q378422	goodwillambassadör för UNESCO	UNESCO Goodwill Ambassador
http://www.wikidata.org/entity/Q628099	fotbollstränare	association football manager
http://www.wikidata.org/entity/Q630349	krigskonstnär	war artist
http://www.wikidata.org/entity/Q782985	romersk kung	King of the Romans
http://www.wikidata.org/entity/Q780596	utställningsproducent	exhibition curator
http://www.wikidata.org/entity/Q780600	personal shopper	personal shopper
http://www.wikidata.org/entity/Q806349	orkesterledare	bandleader
http://www.wikidata.org/entity/Q806798	bankman	banker
http://www.wikidata.org/entity/Q371909	prefekt	prefect
http://www.wikidata.org/entity/Q369894	adjutant	aide-de-camp
http://www.wikidata.org/entity/Q372391	färjeman	ferryman
http://www.wikidata.org/entity/Q212980	psykolog	psychologist
http://www.wikidata.org/entity/Q361809	retor	rhetorician
http://www.wikidata.org/entity/Q365461	garvare	tanner
http://www.wikidata.org/entity/Q361593	polisbefäl	police officer
http://www.wikidata.org/entity/Q808266	bartender	bartender
http://www.wikidata.org/entity/Q806805	banktjänsteman	bank teller
http://www.wikidata.org/entity/Q388338	kassör	treasurer
http://www.wikidata.org/entity/Q211346	psykiater	psychiatrist
http://www.wikidata.org/entity/Q901	forskare	scientist
http://www.wikidata.org/entity/Q8311	specialeffektsansvarig	visual effects supervisor
http://www.wikidata.org/entity/Q799665	badmintondomare	badminton referee
http://www.wikidata.org/entity/Q384593	polis	police officer
http://www.wikidata.org/entity/Q381353	femme de lettres	woman of letters
http://www.wikidata.org/entity/Q11631	rymdfarare	astronaut
http://www.wikidata.org/entity/Q644687	illustratör	illustrator
http://www.wikidata.org/entity/Q638172	gårdfarihandlande	peddler
http://www.wikidata.org/entity/Q651566	hygieniker	hygienist
http://www.wikidata.org/entity/Q201948	prickskytt	sniper
http://www.wikidata.org/entity/Q202648	sportdomare	referee
http://www.wikidata.org/entity/Q627325	grafisk formgivare	graphic designer
http://www.wikidata.org/entity/Q805253	balettmästare	ballet master
http://www.wikidata.org/entity/Q805221	balettdansare	ballet dancer
http://www.wikidata.org/entity/Q372436	statsperson	statesperson
http://www.wikidata.org/entity/Q762707	violinmakare	luthier
http://www.wikidata.org/entity/Q779280	Oblat (ordensliv)	oblate
http://www.wikidata.org/entity/Q776268	arborist	arborist
http://www.wikidata.org/entity/Q207651	bödel	executioner
http://www.wikidata.org/entity/Q206783	civilanställd	civilian employee of the military
http://www.wikidata.org/entity/Q622807	seiyū	seiyū
http://www.wikidata.org/entity/Q205375	uppfinnare	inventor
http://www.wikidata.org/entity/Q17221	talesperson	spokesperson
http://www.wikidata.org/entity/Q18805	naturvetare	naturalist
http://www.wikidata.org/entity/Q13968	övervakare	probation officer
http://www.wikidata.org/entity/Q12097	kung	king
http://www.wikidata.org/entity/Q9402	ninja	ninja
http://www.wikidata.org/entity/Q8313	specialeffektstekniker	special effects supervisor
http://www.wikidata.org/entity/Q388513	thaiboxare	Thai boxer
http://www.wikidata.org/entity/Q392651	underrättelseagent	intelligence agent
http://www.wikidata.org/entity/Q222982	flygaräss	flying ace
http://www.wikidata.org/entity/Q623386	spökskrivare	ghostwriter
http://www.wikidata.org/entity/Q623268	finansdirektör	chief financial officer
http://www.wikidata.org/entity/Q623279	operativ chef	chief operating officer
http://www.wikidata.org/entity/Q811122	byggnadsarbetare	construction worker
