person	personLabelSv	cityOfBirth	occupationLabelsDe	occupationLabelsEs	sitelinks
http://www.wikidata.org/entity/Q383541	Basshunter	http://www.wikidata.org/entity/Q26521	DJ, Sänger, Songschreiber, Musikproduzent	disc-jockey, cantante, compositor de canciones, productor discográfico	201
http://www.wikidata.org/entity/Q7546	Ingmar Bergman	http://www.wikidata.org/entity/Q25286	Schauspieler, Drehbuchautor, Dramatiker, Autor, Filmemacher, Filmregisseur, Regisseur, Filmproduzent, Autobiograf, Bühnenregisseur	actor, guionista, dramaturgo, autor, cineasta, director de cine, realizador, productor de cine, autobiógrafo, director de teatro	146
http://www.wikidata.org/entity/Q55767	Astrid Lindgren	http://www.wikidata.org/entity/Q634231	Drehbuchautor, Schriftsteller, Kinderbuchautor, Romancier	guionista, escritor, escritor de literatura infantil, novelista	110
http://www.wikidata.org/entity/Q46896	Zlatan Ibrahimović	http://www.wikidata.org/entity/Q2211	Fußballspieler	futbolista	108
http://www.wikidata.org/entity/Q129173	Verner von Heidenstam	http://www.wikidata.org/entity/Q2257230	Schriftsteller, Dichter, Maler	escritor, poeta, pintor	91
http://www.wikidata.org/entity/Q93137	Pär Lagerkvist	http://www.wikidata.org/entity/Q26152	Drehbuchautor, Dichter, Schriftsteller, Autobiograf, Essayist, Dramatiker	guionista, poeta, escritor, autobiógrafo, ensayista, dramaturgo	87
http://www.wikidata.org/entity/Q131326	Eyvind Johnson	http://www.wikidata.org/entity/Q586179	Schriftsteller, Architekt, Übersetzer, Dichter, Journalist, Romancier, Filmregisseur	escritor, arquitecto, traductor, poeta, periodista, novelista, director de cine	81
http://www.wikidata.org/entity/Q13423853	Felix Kjellberg	http://www.wikidata.org/entity/Q25287	Fernsehproduzent, YouTuber, Schriftsteller, Internetpersönlichkeit, Gamer	productor de televisión, youtuber, escritor, celebridad de internet, jugador de videojuegos	78
http://www.wikidata.org/entity/Q160518	Gustaf Dalén	http://www.wikidata.org/entity/Q1014060	Ingenieur, Unternehmer, Physiker, Erfinder, Unternehmensleiter	ingeniero, emprendedor, físico, inventor, jefe de empresa	77
http://www.wikidata.org/entity/Q173144	Agnetha Fältskog	http://www.wikidata.org/entity/Q25415	Autobiograf, Songschreiber, Aufnahmekünstler, Popsänger, Komponist, Schauspieler	autobiógrafo, compositor de canciones, artista discográfico, cantante de pop, compositor, actor	76
http://www.wikidata.org/entity/Q230662	Anita Ekberg	http://www.wikidata.org/entity/Q2211	Schauspieler, Model, Filmschauspieler, Schönheitswettbewerbsteilnehmer	actor, modelo, actor de cine, participante en concursos de belleza	71
http://www.wikidata.org/entity/Q203215	Max von Sydow	http://www.wikidata.org/entity/Q2167	Schauspieler, Filmschauspieler, Fernsehschauspieler, Filmregisseur, Bühnenschauspieler, Regisseur	actor, actor de cine, actor de televisión, director de cine, actor de teatro, realizador	69
http://www.wikidata.org/entity/Q372460	Måns Zelmerlöw	http://www.wikidata.org/entity/Q2167	Schauspieler, Sänger, Fernsehmoderator	actor, cantante, presentador de televisión	67
http://www.wikidata.org/entity/Q439314	Alicia Vikander	http://www.wikidata.org/entity/Q25287	Schauspieler, Bühnenschauspieler, Sprecher, Filmproduzent, Tänzer, Filmschauspieler	actor, actor de teatro, actor de voz, productor de cine, bailarín, actor de cine	67
http://www.wikidata.org/entity/Q186317	Stieg Larsson	http://www.wikidata.org/entity/Q2491686	Schriftsteller, Herausgeber, Drehbuchautor, Journalist	escritor, editor, guionista, periodista	63
http://www.wikidata.org/entity/Q10560	Fredrik Ljungberg	http://www.wikidata.org/entity/Q2296795	Fußballtrainer, Fußballspieler, Model	entrenador de fútbol, futbolista, modelo	62
http://www.wikidata.org/entity/Q192712	Kai Siegbahn	http://www.wikidata.org/entity/Q2167	Physiker, Hochschullehrer	físico, profesor universitario	61
http://www.wikidata.org/entity/Q204996	Heliga Birgitta	http://www.wikidata.org/entity/Q2012977	Theologe, Politiker, Philosoph, Memoirenschreiber, Schriftsteller	teólogo, político, filósofo, memorialista, escritor	61
http://www.wikidata.org/entity/Q153637	Dietrich Buxtehude	http://www.wikidata.org/entity/Q25411	Musiker, Organist, Komponist	músico, organista, compositor	61
