person	personLabelSv	cityOfBirth	occupationLabelsSv	occupationLabelsEn	sitelinks	occupationLabelsDe	occupationLabelsEs
http://www.wikidata.org/entity/Q383541	Basshunter	http://www.wikidata.org/entity/Q26521	musikproducent, discjockey, låtskrivare, sångare	record producer, disc jockey, songwriter, singer	201	DJ, Sänger, Songschreiber, Musikproduzent	disc-jockey, cantante, compositor de canciones, productor discográfico
http://www.wikidata.org/entity/Q7546	Ingmar Bergman	http://www.wikidata.org/entity/Q25286	skådespelare, manusförfattare, dramatiker, författare, filmskapare, teaterregissör, filmproducent, regissör, självbiograf, filmregissör	actor, screenwriter, playwright, author, filmmaker, theatrical director, film producer, director, autobiographer, film director	146	Schauspieler, Drehbuchautor, Dramatiker, Autor, Filmemacher, Filmregisseur, Regisseur, Filmproduzent, Autobiograf, Bühnenregisseur	actor, guionista, dramaturgo, autor, cineasta, director de cine, realizador, productor de cine, autobiógrafo, director de teatro
http://www.wikidata.org/entity/Q55767	Astrid Lindgren	http://www.wikidata.org/entity/Q634231	manusförfattare, författare, romanförfattare, barnboksförfattare	screenwriter, writer, novelist, children's writer	110	Drehbuchautor, Schriftsteller, Kinderbuchautor, Romancier	guionista, escritor, escritor de literatura infantil, novelista
http://www.wikidata.org/entity/Q46896	Zlatan Ibrahimović	http://www.wikidata.org/entity/Q2211	fotbollsspelare	association football player	108	Fußballspieler	futbolista
http://www.wikidata.org/entity/Q129173	Verner von Heidenstam	http://www.wikidata.org/entity/Q2257230	poet, målare, författare	poet, painter, writer	91	Schriftsteller, Dichter, Maler	escritor, poeta, pintor
http://www.wikidata.org/entity/Q93137	Pär Lagerkvist	http://www.wikidata.org/entity/Q26152	manusförfattare, författare, poet, dramatiker, essäist, självbiograf	screenwriter, writer, poet, playwright, essayist, autobiographer	87	Drehbuchautor, Dichter, Schriftsteller, Autobiograf, Essayist, Dramatiker	guionista, poeta, escritor, autobiógrafo, ensayista, dramaturgo
http://www.wikidata.org/entity/Q131326	Eyvind Johnson	http://www.wikidata.org/entity/Q586179	författare, filmregissör, journalist, romanförfattare, poet, översättare, arkitekt	writer, film director, journalist, novelist, poet, translator, architect	81	Schriftsteller, Architekt, Übersetzer, Dichter, Journalist, Romancier, Filmregisseur	escritor, arquitecto, traductor, poeta, periodista, novelista, director de cine
http://www.wikidata.org/entity/Q13423853	Felix Kjellberg	http://www.wikidata.org/entity/Q25287	författare, gamer, TV-producent, internetkändis, youtubare	writer, gamer, television producer, internet celebrity, YouTuber	78	Fernsehproduzent, YouTuber, Schriftsteller, Internetpersönlichkeit, Gamer	productor de televisión, youtuber, escritor, celebridad de internet, jugador de videojuegos
http://www.wikidata.org/entity/Q160518	Gustaf Dalén	http://www.wikidata.org/entity/Q1014060	entreprenör, företagsledare, ingenjör, fysiker, uppfinnare	entrepreneur, business executive, engineer, physicist, inventor	77	Ingenieur, Unternehmer, Physiker, Erfinder, Unternehmensleiter	ingeniero, emprendedor, físico, inventor, jefe de empresa
http://www.wikidata.org/entity/Q173144	Agnetha Fältskog	http://www.wikidata.org/entity/Q25415	skådespelare, kompositör, låtskrivare, självbiograf, schlagersångare, dansbandssångare, discosångare, skivartist, popsångare	actor, composer, songwriter, autobiographer, schlager singer, dansband singer, disco singer, recording artist, pop singer	76	Autobiograf, Songschreiber, Aufnahmekünstler, Popsänger, Komponist, Schauspieler	autobiógrafo, compositor de canciones, artista discográfico, cantante de pop, compositor, actor
