Q204881	Malmö FF	Q2211	Malmö	1910-02-24	Q7291	fotboll, badminton	62
Q201567	IFK Göteborg	Q25287	Göteborg	1904-10-04	Q2736	fotboll	53
Q329607	IFK Norrköping	Q25724	Norrköping	1897-05-29	Q3177899	fotboll, orientering, bowling	43
Q211753	IF Elfsborg	Q26040	Borås	1904-06-26	Q2736	fotboll	43
Q306797	Östersunds FK	Q26515	Östersund	1996-10-31	Q2736	fotboll	42
Q207503	Helsingborgs IF	Q25411	Helsingborg	1907-06-04	Q2736	fotboll	41
Q644157	Kalmar FF	Q26345	Kalmar	1910-04-01	Q2736	fotboll	39
Q584858	Halmstads BK	Q26521	Halmstad	1914-02-07	Q2736	fotboll	37
Q639723	BK Häcken	Q25287	Göteborg	1940-08-02	Q2736	fotboll	34
Q391789	Gais	Q25287	Göteborg	1894-03-11	Q2736	fotboll	34
Q120705	Dalkurd FF	Q54341	Borlänge	2004-09-26	Q2736	fotboll	33
Q260559	Örebro SK Fotboll	Q25732	Örebro	1908-10-28	Q2736	fotboll	33
Q297906	Örgryte IS	Q25287	Göteborg	1887-12-04	Q3177899	friidrott, fotboll, brottning, parasport, bowling	32
Q603333	Gefle IF Fotboll	Q25748	Gävle	1882-01-01	Q2736	fotboll	32
Q271349	Åtvidabergs FF	Q271335	Åtvidaberg	1907-01-01	Q2736	fotboll	32
Q306787	Östers IF	Q26152	Växjö	1930-04-20	Q2736	bandy, fotboll	30
Q1394197	Falkenbergs FF	Q54766	Falkenberg	1928-01-03	Q183018	fotboll, bandy	30
Q893308	AFC Eskilstuna	Q26498	Eskilstuna	2007-01-01	Q2736	fotboll	29
Q725332	GIF Sundsvall	Q26476	Sundsvall	1903-08-25	Q8418	fotboll, bandy, ishockey, handboll	28
Q683351	Syrianska FC	Q26518	Södertälje	1977-01-01	Q2736	fotboll	27
Q746046	Assyriska FF	Q26518	Södertälje	1971-01-01	Q2736	fotboll	26
Q20792292	Umeå IK FF	Q25579	Umeå	1923-01-01	Q2736	fotboll	26
Q863273	Landskrona BoIS	Q54352	Landskrona	1915-02-07	Q2736	fotboll	25
Q931714	Jönköpings Södra IF	Q25415	Jönköping	1922-12-09	Q8418	fotboll, ishockey, handboll	24
Q1140767	Degerfors IF	Q1019101	Degerfors	1907-01-13	Q2736	fotboll	24
Q818624	Trelleborgs FF	Q26943	Trelleborg	1926-12-06	Q2736	fotboll	24
Q1140076	IK Brage	Q54341	Borlänge	1925-02-06	Q2736	fotboll	24
Q1142002	HV71	Q25415	Jönköping	1971-05-24	Q41466	ishockey	23
Q1826908	Linköpings FC	Q25413	Linköping	2003-01-01	Q2736	fotboll	23
Q1807026	FC Rosengård	Q2211	Malmö	2007-01-01	Q2736	fotboll	23
Q1471336	IK Sirius FK	Q25286	Uppsala	1907-01-01	Q2736	fotboll	23
Q259029	Ljungskile SK	Q1721409	Ljungskile	1926-05-16	Q2736	fotboll	22
Q772310	IK Sleipner	Q25724	Norrköping	1903-04-27	Q2736	fotboll	21
Q538793	IFK Värnamo	Q54771	Värnamo	1912-01-01	Q2736	fotboll	18
Q1337348	BK Häcken FF	Q25287	Göteborg	1970-01-01	Q2736	fotboll	18
Q1585149	Varbergs BoIS FC	Q21168	Varberg	1925-01-01	Q2736	fotboll	18
Q1353661	IFK Malmö	Q2211	Malmö	1899-04-23	Q2736	fotboll	17
Q255225	Ängelholms FF	Q54755	Ängelholm	1976-01-01	Q2736	fotboll	17
Q1680249	Västerås SK FK	Q25412	Västerås	1904-01-01	Q2736	fotboll	17
Q1637856	IFK Eskilstuna	Q26498	Eskilstuna	1897-09-09	Q2736	fotboll	17
Q175764	Umeå FC	Q25579	Umeå	1987-11-20	Q2736	fotboll	16
Q1469892	Vetlanda BK	Q611013	Vetlanda	1945-12-06	Q183018	bandy	15
Q1662983	Sandvikens IF Fotboll	Q54756	Sandviken	1918-01-01	Q2736	fotboll	15
Q597992	Västra Frölunda IF	Q25287	Göteborg	1930-01-02	Q2736	fotboll	14
Q6661009	Ljusdals BK	Q1019575	Ljusdal	1943-01-19	Q183018	bandy	13
